id,name,sector,profession,primary_connection_type,all_connection_types,era,post_2008_contact,pre_2008_contact,island_status,island_notes,townhouse_status,townhouse_notes,palm_beach_status,palm_beach_notes,zorro_ranch_status,zorro_ranch_notes,paris_status,paris_notes,any_property_visited_or_offered,flew_private_plane,flight_count_estimate,flight_notes,organizations,connected_people_count,connected_people,wikipedia_url,has_photo,citations_count,bio_excerpt
jagland,Thorbjørn Jagland,"Politics, Government & Diplomacy",Norwegian politician,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,Referenced,"In a 2014 email to Epstein, Jagland had planned a family trip toLittle Saint James island, while he wassecretary general of the Council of Europe.",None,,None,,None,,None,,False,False,,,MIT; United Nations,0,,https://en.wikipedia.org/wiki/Thorbjørn_Jagland,True,4,"Thorbjørn Jaglandis a Norwegian politician who served asprime ministerfrom 1996 to 1997. In a 2014 email to Epstein, Jagland had planned a family trip toLittle ..."
de-jongh,John de Jongh Jr.,"Politics, Government & Diplomacy",John de Jongh Jr,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/John_de_Jongh_Jr.,True,1,"John de Jongh Jr.is an American businessman and formergovernor of the United States Virgin Islands(2007–2015).
Emails in the files show that from 2008 to 2009 E..."
judd,Grady Judd,"Law, Law Enforcement & Legal Defense",Grady Juddis an American law enforcement officer serving as the sheriff ofPolk...,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Pre-2008 Only,False,True,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Grady_Judd,True,2,"Grady Juddis an American law enforcement officer serving as the sheriff ofPolk County, Floridasince 2005. Among the released materials, an email from a female i..."
junkermann,Nicole Junkermann,"Finance, Business & Real Estate",Nicole Junkermannis a German entrepreneur and investor,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Nicole_Junkermann,True,1,Nicole Junkermannis a German entrepreneur and investor. Documents released as part of the files show that after his 2008 conviction Junkermann was in close frie...
juul,Mona Juul,"Politics, Government & Diplomacy","Mona Juulis a Norwegian diplomat, former permanent representative to the United Nations,...",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Terje Rød-Larsen,https://en.wikipedia.org/wiki/Mona_Juul,True,2,"Mona Juulis a Norwegian diplomat, former permanent representative to the United Nations, and wife ofTerje Rød-Larsen.
Juul resigned her position as ambassador t..."
kamen,Dean Kamen,"Tech, Crypto & Venture Capital",Dean Kameninvented theSegwayandiBOT,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,Visited,"Emails revealed he visited Epstein's private island in 2013, and discussed ""which flight Dean prefers the girls to be on"".[133]That same year, Epstein connected Kamen withNadia Marcinkoand Kamen hired her to provide flight training for his employees atDEKA.",None,,None,,None,,None,,True,True,,"Emails revealed he visited Epstein's private island in 2013, and discussed ""which flight Dean prefers the girls to be on"".[133]That same year, Epstein connected Kamen withNadia Marcinkoand Kamen hired her to provide flight training for his employees atDEKA.",DEKA Research; FIRST Robotics; United Nations,2,Ghislaine Maxwell; Nadia Marcinko,https://en.wikipedia.org/wiki/Dean_Kamen,True,4,"Dean Kameninvented theSegwayandiBOT. Photographs show Kamen with Epstein and Ghislaine Maxwell. Emails revealed he visited Epstein's private island in 2013, and..."
karp,Brad S. Karp,"Politics, Government & Diplomacy",Brad S,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,None,,Visited,Karpis the chair ofPaul Weisswho attended dinners at Epstein's Upper East Side residence.,None,,None,,None,,True,False,,,Paul Weiss; United Nations,0,,https://en.wikipedia.org/wiki/Brad_S._Karp,True,5,"Brad S. Karpis the chair ofPaul Weisswho attended dinners at Epstein's Upper East Side residence. In a 2015 email, Karp thanked Epstein for an immomerable eveni..."
robert-f.-kennedy-jr.,Robert F. Kennedy Jr.,"Politics, Government & Diplomacy",Robert F,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,True,,admitted duringhis presidential campaignthat he flew on Epstein's plane.[139]Emails and audio transcripts within the files reveal that Robert F.,MIT; United Nations,1,Ghislaine Maxwell,https://en.wikipedia.org/wiki/Robert_F._Kennedy_Jr.,True,3,Robert F. Kennedy Jr.is currently serving as theUnited States Secretary of Health and Human Services. Kennedy Jr. admitted duringhis presidential campaignthat h...
gary-king,Gary King,"Politics, Government & Diplomacy",lawyer and politician,Professional Service Provider,Professional Service Provider; Financial / Funding Recipient; Social Acquaintance / Guest,Both Pre- & Post-2008,True,True,None,,None,,None,,Referenced,"Gary Kingis a lawyer and politician who was theattorney general of New Mexicofrom 2007–2015, and a nominee for New Mexico governor in 2014.",None,,False,True,,"Epstein made financial contributions to King's political campaigns from the early 1990s through at least 2014, sometimes funneling money through companies to avoid press coverage of the donations while King was running on the issue of prosecuting child sex offenders, and King flew on Epstein's private jet.",United Nations,0,,https://en.wikipedia.org/wiki/Gary_King_(politician),True,3,"Gary Kingis a lawyer and politician who was theattorney general of New Mexicofrom 2007–2015, and a nominee for New Mexico governor in 2014. Epstein purchased hi..."
kosslyn,Stephen Kosslyn,"Academia, Science & Research","Stephen Kosslynis an American psychologist and neuroscientist, former chair of the psychology...",Financial / Funding Recipient,Financial / Funding Recipient,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,Harvard University; United Nations,0,,https://en.wikipedia.org/wiki/Stephen_Kosslyn,True,4,"Stephen Kosslynis an American psychologist and neuroscientist, former chair of the psychology department and dean of social sciences atHarvard University. Betwe..."
kotick,Bobby Kotick,"Finance, Business & Real Estate",Bobby Kotickis an American former CEO ofActivision BlizzardandActivision,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Bobby_Kotick,True,2,"Bobby Kotickis an American former CEO ofActivision BlizzardandActivision. Epstein invited Kotick to events with ""the girls"", and asked Kotick in May 2013 about ..."
krauss,Lawrence Krauss,"Academia, Science & Research",Lawrence Kraussis acosmologist,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,MIT; United Nations,1,Bill Clinton,https://en.wikipedia.org/wiki/Lawrence_Krauss,True,2,Lawrence Kraussis acosmologist. Krauss reached out to Epstein in 2017 for how to respond on sexual misconduct allegations; Epstein recommended to write a cover ...
robert-lawrence-kuhn,Robert Lawrence Kuhn,"Finance, Business & Real Estate",Robert Lawrence Kuhnis an American investment banker and writer,Financial / Funding Recipient,Financial / Funding Recipient,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Robert_Lawrence_Kuhn,True,2,Robert Lawrence Kuhnis an American investment banker and writer. Kuhn'sCloser to Truthtelevision series received partial funding from Epstein.[148][149]
lajčák,Miroslav Lajčák,"Politics, Government & Diplomacy",formerPresident of the United Nations General Assemblywith,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Miroslav_Lajčák,True,6,"Miroslav Lajčákis a formerPresident of the United Nations General Assemblywith whom Epstein exchanged emails between 2017 and 2019. In one email, Lajčák asked E..."
landon,Mark Landon,"Academia, Science & Research",Mark Landon is anOB-GYNspecializing in high-risk pregnancies at theOhio State University Wexner...,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Pre-2008 Only,False,True,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Les Wexner,,False,3,Mark Landon is anOB-GYNspecializing in high-risk pregnancies at theOhio State University Wexner Medical Centerand a professor atOhio State University College of...
caroline-lang,Caroline Lang,"Politics, Government & Diplomacy",Caroline Lang[fr]is a French film producer and the daughter of politicianJack Lang,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Jack Lang,https://en.wikipedia.org/wiki/Caroline_Lang?action=edit&redlink=1,False,6,"Caroline Lang[fr]is a French film producer and the daughter of politicianJack Lang.[158]The 2026 Epstein files release revealed that she was co-owner, with Epst..."
jack-lang,Jack Lang,"Politics, Government & Diplomacy",French politician,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,MIT; United Nations,1,Caroline Lang,https://en.wikipedia.org/wiki/Jack_Lang_(French_politician),True,2,"Jack Langis a French politician who has served asminister of culture,minister of education, and in theNational Assembly. He intermittently corresponded with Eps..."
lauder,Ronald Lauder,"Academia, Science & Research",Ronald Lauderis an American businessman,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,MIT,0,,https://en.wikipedia.org/wiki/Ronald_Lauder,True,2,"Ronald Lauderis an American businessman. The billionaire's name appears in the Epstein files over 900times.[162]In 2014, Epstein set up alimited liability compa..."
julian-leese,Julian Leese,"Finance, Business & Real Estate","Julian Leese is the younger son ofDouglas Leese, one of the architects...",Business / Investment Partner,Business / Investment Partner; Social Acquaintance / Guest,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Douglas_Leese?action=edit&redlink=1,False,4,"Julian Leese is the younger son ofDouglas Leese, one of the architects of the billion-dollarAl-Yamamah arms deal. Epstein was ""mentored"" by Douglas and befriend..."
nick-leese,Nick Leese,"Entertainment, Arts & Media",Nick Leese is a film producer and eldest son of Douglas Leese,Social Acquaintance / Guest,Social Acquaintance / Guest,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,,0,,,False,2,Nick Leese is a film producer and eldest son of Douglas Leese. Nick contributed toEpstein's birthday booka story about massage classes and their escapades at ni...
lewis,Shelley Anne Lewis,Royalty & Aristocracy,Shelley Anne Lewis reportedly is the daughter of the founder of theCash...,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Andrew Mountbatten-Windsor,,False,2,Shelley Anne Lewis reportedly is the daughter of the founder of theCash Generatorpawnbroking chain. She was working forChristie'sauction house in New York when ...
lutnick,Howard Lutnick,"Politics, Government & Diplomacy",Howard Lutnickis theUnited States Secretary of Commerce,Business / Investment Partner,Business / Investment Partner; Social Acquaintance / Guest,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Howard_Lutnick,True,4,"Howard Lutnickis theUnited States Secretary of Commerce. In 2012, he coordinated a visit toEpstein's Caribbean compound, though he had previously said he severe..."
magnani,Thomas Magnani,"Academia, Science & Research","Thomas Magnani was Epstein's personal dentist, a graduate of Columbia University's dental...",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,Columbia University; MIT; United Nations,2,Letty Moss-Salentijn; Karyna Shuliak,,False,3,"Thomas Magnani was Epstein's personal dentist, a graduate of Columbia University's dental college, and a faculty member on their admissions review committee. Af..."
mandelson,Peter Mandelson,"Politics, Government & Diplomacy","Peter Mandelson, Lord Mandelsonis a British former politician and diplomat",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,JPMorgan Chase; United Nations,1,Larry Summers,https://en.wikipedia.org/wiki/Peter_Mandelson,True,17,"Peter Mandelson, Lord Mandelsonis a British former politician and diplomat. Between 2003-4, three $25,000 payments referencing Mandelson were sent from Epstein'..."
mapp,Kenneth Mapp,"Politics, Government & Diplomacy",Kenneth Mappis the formerGovernor of the United States Virgin Islands,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Kenneth_Mapp,False,1,"Kenneth Mappis the formerGovernor of the United States Virgin Islands. An email shows that in 2016, Mapp asked Epstein in to borrow $275 million for the Virgin ..."
