id,name,sector,profession,primary_connection_type,all_connection_types,era,post_2008_contact,pre_2008_contact,island_status,island_notes,townhouse_status,townhouse_notes,palm_beach_status,palm_beach_notes,zorro_ranch_status,zorro_ranch_notes,paris_status,paris_notes,any_property_visited_or_offered,flew_private_plane,flight_count_estimate,flight_notes,organizations,connected_people_count,connected_people,wikipedia_url,has_photo,citations_count,bio_excerpt
princess-sofia,"Princess Sofia, Duchess of Värmland",Royalty & Aristocracy,Princess Sofiais aSwedish royaland former model,Social Acquaintance / Guest,Social Acquaintance / Guest,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,,0,,"https://en.wikipedia.org/wiki/Princess_Sofia,_Duchess_of_Värmland",True,3,"Princess Sofiais aSwedish royaland former model. She met Epstein on a few occasions in 2005, prior to her marriage, while living in New York City.[280]A 2005 em..."
spacey,Kevin Spacey,"Entertainment, Arts & Media",Kevin Spaceyis an American actor,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,True,,"Undated photographs showed him standing with Epstein.[282]Other images showed Spacey visiting theChurchill War RoomswithBill ClintonandGhislaine Maxwellduring a 2002 visit to the UK as part of aClinton Foundationhumanitarian trip.[283]Spacey told journalistPiers Morganin 2024 that he traveled on Epstein's plane for the foundation trip but that ""he never spent time with him"".[282]He has not been accused of wrongdoing in relation to Epstein.[283]",United Nations,2,Bill Clinton; Ghislaine Maxwell,https://en.wikipedia.org/wiki/Kevin_Spacey,True,4,"Kevin Spaceyis an American actor.
Undated photographs showed him standing with Epstein.[282]Other images showed Spacey visiting theChurchill War RoomswithBill C..."
staley,Jes Staley,"Finance, Business & Real Estate",Jes Staleyis the former group CEO ofBarclays,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Jes_Staley,True,5,"Jes Staleyis the former group CEO ofBarclays. He was one of three trustees of Epstein's estate until 2015, counter to what Staley testified in court.[284]In 202..."
starr,Ken Starr,"Law, Law Enforcement & Legal Defense",Ken Starrhelped secure Epstein's 2008 plea deal,Professional Service Provider,Professional Service Provider; Business / Investment Partner,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Ken_Starr,True,4,"Ken Starrhelped secure Epstein's 2008 plea deal.[289]In 2012, Starr hosted Epstein at Baylor University.[290]In released emails from 2016, Starr and Epstein are..."
stern,David Stern,Royalty & Aristocracy,David Sternis a German businessman,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/David_Stern_(German_businessman),False,1,"David Sternis a German businessman. In 2010, while UK trade envoy, Prince Andrew apparently passed on an email conversation about theRoyal Bank of ScotlandandAs..."
bin-sulayem,Sultan Ahmed bin Sulayem,"Finance, Business & Real Estate",Emirati businessman to,Intermediary / Introduced Others,Intermediary / Introduced Others,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,FIRST Robotics,1,Anil Ambani,https://en.wikipedia.org/wiki/Sultan_Ahmed_bin_Sulayem,True,6,"Sultan Ahmed bin Sulayemis an Emirati businessman to whom Epstein emailed in 2009: ""I loved the torture video"".[292]The Department of Justice redacted his name,..."
summers,Larry Summers,"Politics, Government & Diplomacy",Lawrence H,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,Harvard University; United Nations,0,,https://en.wikipedia.org/wiki/Lawrence_H._Summers,True,6,Lawrence H. Summersis a formerUS treasury secretaryandHarvard president. Summers discussed his romantic pursuit of a woman with Epstein. Their communications co...
tarnita,Corina Tarnita,Royalty & Aristocracy,graduate student working under Nowak,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,Harvard University; United Nations,0,,https://en.wikipedia.org/wiki/Corina_Tarnita,True,4,Corina Tarnitamet convicted sex offenderJeffrey Epsteinwhile she was a graduate student working under Nowak at Harvard in 2008. She remained in contact with Eps...
thiel,Peter Thiel,"Tech, Crypto & Venture Capital",Peter Thielco-foundedPayPalandPalantir Technologies,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,Referenced,"In 2018, Epstein urged Thiel to ""Visit me Caribbean."" A spokesman for Thiel said Thiel ""never went to Epstein's island"".[45]Epstein called Thiel ""a great friend"" and offered fiscal advice.[302]In an email toTom Pritzker, Epstein described a dinner with Thiel,Zuckerberg,Musk, andHoffmanas ""wild"".[55]",None,,None,,None,,None,,False,False,,,Palantir Technologies; United Nations,2,Reid Hoffman; Mark Zuckerberg,https://en.wikipedia.org/wiki/Peter_Thiel,True,3,Peter Thielco-foundedPayPalandPalantir Technologies. Documents showed that an investment firm co-founded by Thiel accepted $40 million from Epstein and that the...
thirsk,Amanda Thirsk,"Finance, Business & Real Estate",Amanda Thirskis a British business executive,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Andrew Mountbatten-Windsor,https://en.wikipedia.org/wiki/Amanda_Thirsk,False,1,Amanda Thirskis a British business executive. She was Andrew Mountbatten-Windsor's private secretary and arranged meetings between Epstein and Mountbatten-Winds...
ting,Jess Ting,Healthcare & Medicine,Ting is a plastic surgeon since 2016,Financial / Funding Recipient,Financial / Funding Recipient,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,,False,2,"Ting is a plastic surgeon since 2016. Hundreds of emails detailed visits to Epstein's homes andisland, coordination for medical care to ""a few female associates..."
tisch,Steve Tisch,"Entertainment, Arts & Media",Steve Tischis aNew York Giantsco-owner,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Steve_Tisch,True,3,"Steve Tischis aNew York Giantsco-owner. In 2013 he and Epstein discussed women, with Epstein describing their physical features.[210]Tisch said he regretted ""as..."
todt,Jean Todt,"Politics, Government & Diplomacy","Jean Todtis a French motor racing executive, former president ofFIA, and UN...",Intermediary / Introduced Others,Intermediary / Introduced Others,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Terje Rød-Larsen,https://en.wikipedia.org/wiki/Jean_Todt,True,1,"Jean Todtis a French motor racing executive, former president ofFIA, and UN Special Envoy. Todt visited Epstein's home in 2017. They had been introduced byTerje..."
tramo,Mark Tramo,"Academia, Science & Research",adjunct professor,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Al Seckel,,False,6,"Mark Tramo is an adjunct professor at the UCLA department of neurology who corresponded with Epstein until the end. In October, Tramo sent a message pledging to..."
trivers,Robert Trivers,"Academia, Science & Research",Robert Triverswas an American evolutionary- and social- biologist,Financial / Funding Recipient,Financial / Funding Recipient; Intermediary / Introduced Others,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,1,Gordon Getty,https://en.wikipedia.org/wiki/Robert_Trivers,False,2,"Robert Triverswas an American evolutionary- and social- biologist. Much of his research was funded byGordon Getty, and in 2013 he introduced Getty to Epstein, c..."
donald-trump,Donald Trump,"Academia, Science & Research","The New York Timesidentified more than 5,300files containing over 38,000references toDonald Trumpand...",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,MIT; United Nations,0,,https://en.wikipedia.org/wiki/Donald_Trump,True,3,"The New York Timesidentified more than 5,300files containing over 38,000references toDonald Trumpand related terms in the January 2026 release. Trump was among ..."
mwdos,Paul Tweed,"Law, Law Enforcement & Legal Defense",Irish lawyer,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Paul_Tweed,False,1,Paul Tweedis an Irish lawyer who worked with Epstein on his UK media strategy.[311]
vickers,Brian Vickers,Royalty & Aristocracy,Files revealed a correspondence betweenBrian Vickerswith Epstein starting in 2012,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Brian_Vickers,True,1,Files revealed a correspondence betweenBrian Vickerswith Epstein starting in 2012. Emails from 2013 showed Epstein working on NASCAR sponsorships for the former...
victor,Steven Victor,Healthcare & Medicine,Dr,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,,False,2,Dr. Steven Victor is a dermatologist who was based in Manhattan. He treated girls and women referred by Epstein. His name is mentioned hundreds of times in emai...
karim-wade,Karim Wade,"Politics, Government & Diplomacy",Karim Wadeis a Senegalese politician,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Karim_Wade,True,2,Karim Wadeis a Senegalese politician. Emails indicate that Epstein assisted Wade with legal and lobbying fees in relation to a corruption case in 2013.[314][315...
wasserman,Casey Wasserman,"Finance, Business & Real Estate",Casey Wassermanis an American entertainment executive and sports agent,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Pre-2008 Only,False,True,None,,None,,None,,None,,None,,False,True,,"Wasserman and Maxwell exchanged emails in March and April 2003.[316][317]Other documents showed Wasserman and his then-wife flew on Epstein's jet in September 2002 with Maxwell, Epstein,Bill Clinton,Kevin Spacey, and others as part of a humanitarian trip by theClinton Foundation.",United Nations,2,Bill Clinton; Kevin Spacey,https://en.wikipedia.org/wiki/Casey_Wasserman,True,4,"Casey Wassermanis an American entertainment executive and sports agent.
Wasserman and Maxwell exchanged emails in March and April 2003.[316][317]Other documents..."
wexner,Les Wexner,"Finance, Business & Real Estate",Les Wexneris an American billionaire businessman,Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Undated / Ongoing,False,False,None,,None,,None,,None,,None,,False,False,,,JPMorgan Chase; United Nations,3,Leon Black; Alan Dershowitz; Glenn Dubin,https://en.wikipedia.org/wiki/Les_Wexner,True,2,"Les Wexneris an American billionaire businessman. In an unsent draft letter that was released by the DOJ, Epstein wrote to Wexner, ""You and I had 'gang stuff' f..."
nathan-wolfe,Nathan Wolfe,"Academia, Science & Research",Nathan Wolfeis a former professor of virology atStanford University,Social Acquaintance / Guest,Social Acquaintance / Guest,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Nathan_Wolfe,True,1,Nathan Wolfeis a former professor of virology atStanford University. He corresponded with Epstein between 2008 and 2013. His name appears almost 600 times in th...
wolff,Michael Wolff,"Entertainment, Arts & Media","journalist with an extended correspondence with Epstein,",Mentioned in Court Files / Email Archive,Mentioned in Court Files / Email Archive,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,0,,https://en.wikipedia.org/wiki/Michael_Wolff_(journalist),True,1,"Michael Wolffis a journalist with an extended correspondence with Epstein, whom Wolff previously said was a source for his2018 book. In December 2015, Wolff tol..."
zuckerberg,Mark Zuckerberg,"Finance, Business & Real Estate",Mark Zuckerbergis an American billionaire businessman and co-founder ofMeta,Business / Investment Partner,Business / Investment Partner; Social Acquaintance / Guest,Post-2008 Only,True,False,None,,None,,None,,None,,None,,False,False,,,United Nations,2,Reid Hoffman; Thomas Pritzker,https://en.wikipedia.org/wiki/Mark_Zuckerberg,True,2,"Mark Zuckerbergis an American billionaire businessman and co-founder ofMeta. In an email toThomas Pritzker, Epstein described a 2015 dinner with Zuckerberg,Musk..."
zuckerman,Mortimer Zuckerman,"Finance, Business & Real Estate",Mortimer Zuckermanis a billionaire media proprietor,Client (Hired Epstein),Client (Hired Epstein); Business / Investment Partner; Social Acquaintance / Guest,Both Pre- & Post-2008,True,True,None,,None,,None,,None,,None,,False,False,,,,0,,https://en.wikipedia.org/wiki/Mortimer_Zuckerman,True,3,Mortimer Zuckermanis a billionaire media proprietor. He signed Epstein's 2003birthday bookand partnered with Epstein in 2003–2004 in media ventures.[321]Between...
